	Yield	ER	EP	EQ	E_sort
0	0.7915783963174275	11.599775116702787	22.729631340366293	9.182131384522393	8.511764259394443
1	0.9617017458870379	10.245443138877935	22.188546840751005	9.853060554045284	8.559590670001867
2	0.9632316650474535	10.364704720294668	22.46605233902756	9.983611785454634	9.004887511057747
3	0.9264959227130904	10.574032608451347	22.448939394348848	9.796798098365437	9.022756581057479
4	1.0507990015635107	9.783538169931688	22.244789249595584	10.280532140722714	9.04378677238174
5	1.1547964742581145	8.559590670001867	20.54090597522709	9.884585126810808	9.051337632286009
6	0.866101306343893	11.436806704507177	23.443392434417795	9.90543322717626	9.151364085504358
7	1.1842009634689923	9.151364085504358	22.287187318364715	10.837054167109795	9.319142014554037
8	1.1036515518680592	9.319142014554037	21.78591237387694	10.285085546441394	9.341797214696184
9	1.0061349923284444	9.827056073791613	21.811716664598304	9.887344987415519	9.44001907913934
10	0.9113230638547257	10.897803268029245	22.935887466218887	9.931419463506455	9.502737751692377
11	0.8989703525921796	10.724803263491154	22.411203471081944	9.641280171262402	9.5928124228088
12	0.8984484613724087	10.824123298767377	22.611901387837428	9.724916923482791	9.65167633318003
13	0.8494419558767727	11.333208520322913	23.00218162561067	9.6269028118624	9.665322658332533
14	0.9820664435821729	9.665322658332533	21.170763930020804	9.491989049142823	9.677733577399927
15	0.8171962707870033	11.216428622716624	22.326760310028902	9.166023642032629	9.689012550300543
16	1.1471424021795238	9.004887511057747	21.525964227168267	10.329888290791178	9.730955330379107
17	1.097646011929126	9.65167633318003	22.49303880050826	10.59412403554579	9.732860516133218
18	0.9045600395591779	10.993368204778113	23.046897390478353	9.944161578202698	9.737891982060523
19	1.1889047573455318	9.051337632286009	22.095190203638104	10.761178371365478	9.763771458073057
20	1.111008308424501	9.677733577399927	22.710512257654578	10.752042411210088	9.783538169931688
21	1.0575595301338572	9.763771458073057	22.27985576781137	10.325769555534107	9.827056073791613
22	1.0324605947060816	10.177682181740316	22.914719512757404	10.508055798089098	9.938061959711005
23	0.90457771370801	11.215319780461627	23.51244502350914	10.145128325514198	9.951412561419536
24	0.8916634266177523	10.871325018580645	22.62109825245085	9.693562917942918	9.993609765294076
25	0.8368013452916118	11.724232141757179	23.616175449313012	9.810853228733562	10.009819559968005
26	0.9310501270019029	10.76684374465309	22.91771796994873	10.024471235868903	10.057318806946812
27	1.053556671976177	9.732860516133218	22.162097042418857	10.254120134185651	10.063767891742351
28	0.9345378210715933	11.151633079608432	23.783903236708028	10.421622879607167	10.068909584335453
29	1.1589645085737441	9.341797214696184	22.46520499424277	10.826811418125935	10.14837663624908
30	1.0122196472054608	11.068393402564055	24.648569481442404	11.203645265074638	10.161772488043642
31	0.9806190174778942	10.057318806946812	22.011740730498484	9.86239808693013	10.177682181740316
32	0.9382706966142234	10.939015396020102	23.37993369407767	10.263757595897495	10.212692107312781
33	1.0454398332003878	10.311161785879301	23.37746391622096	10.779699257531869	10.237718073659417
34	1.026225495490298	10.85610707514538	24.360123877917257	11.140813862286798	10.245443138877935
35	1.0588343099049267	10.161772488043642	23.20375231809038	10.759633359788559	10.289687080952836
36	0.867937091691493	11.722814258670317	24.05574191213684	10.17466531410988	10.311161785879301
37	0.977028042749835	10.461455342780663	22.850710176564657	10.221135237871795	10.33824213249296
38	1.0056114219015828	10.346325389252975	22.957698705790104	10.404382986143132	10.342661047402434
39	0.7837246429262685	12.672846043318176	24.71166027381407	9.932021740159112	10.346325389252975
40	1.1903490707821767	9.44001907913934	23.06052567189029	11.236917939019532	10.363003353515687
41	0.969082176665421	11.09391430868875	24.12532597657209	10.750914626003754	10.364704720294668
42	0.9970558243820834	10.342661047402434	22.842310061853702	10.312210436922296	10.424823713987308
43	1.027312691384316	10.237718073659417	22.986006204429007	10.517337707884911	10.43712962192202
44	0.9785109967367337	10.068909584335453	22.011380800602282	9.852538753420134	10.451640233512292
45	1.2658754584088874	9.04378677238174	22.92052341024958	11.448307726240968	10.452364153938934
46	0.8851225942907495	11.881288996401354	24.628437287326083	10.516397340012901	10.461455342780663
47	1.1224646390777675	10.212692107312781	24.10770515003667	11.463385760247206	10.488869121722663
48	1.2941550109243731	9.022756581057479	23.176508874059177	11.6768456417264	10.52247104245678
49	1.3064073619451464	8.511764259394443	21.99034788559381	11.119831491614477	10.54362991260246
50	0.9566640627843271	10.943427426616365	23.633347114776665	10.469183742732247	10.569768885576035
51	1.1120799062585958	9.951412561419536	23.365674317109296	11.06676594844405	10.574032608451347
52	0.8774405915618033	11.722195190052917	24.189504137886804	10.285529881962956	10.58650627454837
53	1.012623919284489	10.824647944893512	24.11106906832728	10.961297426832857	10.643901298052828
54	0.9304333090351414	11.368594731441085	24.190072567870423	10.577719215054204	10.655453586628385
55	0.9742181283575266	10.96578792607127	23.914962943407897	10.683069389302716	10.657846967205067
56	1.0268435745938513	10.363003353515687	23.26140748327583	10.641183407052116	10.674156117781118
57	0.8857556589005074	11.772161006307526	24.411261889731506	10.427258228824783	10.712979320770733
58	0.8622207896484192	12.037118656828948	24.617305266989888	10.378653953382775	10.724803263491154
59	1.1682405330798442	9.502737751692377	22.95908128715306	11.101483416755064	10.72967294401357
60	0.8759184551204197	11.974064617744025	24.68716059530333	10.488304181486425	10.749840901359034
61	1.1544171100145455	9.730955330379107	23.347417548775333	11.233581330176886	10.76684374465309
62	1.1278901493500135	9.737891982060523	23.050949487515727	10.983272442000542	10.775957716155013
63	1.1539634524522862	10.009819559968005	24.010990393719645	11.550965937845103	10.812766592585843
