Erecoil_keV,pdf,cdf
0.003233,8.23863595878278,0.996456733440948
0.003234,8.22218685988258,0.996464963852357
0.003235,8.20576679597822,0.996473177829185
0.003236,8.18937571953128,0.996481375400443
0.003237,8.17301358307779,0.996489556595094
0.003238,8.15668033934005,0.996497721442056
0.003239,8.14037594111363,0.996505869970196
0.00324,8.12410034104382,0.996514002208337
0.003241,8.107853491851,0.996522118185253
0.003242,8.09163534710744,0.996530217929673
0.003243,8.07544585912403,0.996538301470276
0.003244,8.05928498150656,0.996546368835696
0.003245,8.04315266715796,0.996554420054521
0.003246,8.02704886927646,0.996562455155289
0.003247,8.01097354146236,0.996570474166494
0.003248,7.99492663672995,0.996578477116583
0.003249,7.97890810882424,0.996586464033956
0.00325,7.9629179112337,0.996594434946966
0.003251,7.94695599741103,0.996602389883921
0.003252,7.93102232131598,0.99661032887308
0.003253,7.91511683622174,0.996618251942659
0.003254,7.89923949644784,0.996626159120825
0.003255,7.88339025573621,0.996634050435701
0.003256,7.86756906779507,0.996641925915363
0.003257,7.85177588715559,0.99664978558784
0.003258,7.83601066745554,0.996657629481118
0.003259,7.82027336304767,0.996665457623133
0.00326,7.80456392835441,0.996673270041779
0.003261,7.78888231744449,0.996681066764902
0.003262,7.77322848477719,0.996688847820303
0.003263,7.75760238498804,0.996696613235738
0.003264,7.74200397246625,0.996704363038916
0.003265,7.72643320177884,0.996712097257504
0.003266,7.71089002766831,0.996719815919118
0.003267,7.69537440494745,0.996727519051335
0.003268,7.67988628829132,0.996735206681681
0.003269,7.66442563275785,0.996742878837642
0.00327,7.64899239326728,0.996750535546655
0.003271,7.63358652491348,0.996758176836114
0.003272,7.61820798244834,0.996765802733367
0.003273,7.60285672151912,0.996773413265719
0.003274,7.58753269712117,0.996781008460429
0.003275,7.57223586452674,0.99678858834471
0.003276,7.55696617918026,0.996796152945731
0.003277,7.54172359669708,0.996803702290619
0.003278,7.52650807235487,0.996811236406454
0.003279,7.51131956180667,0.996818755320271
0.00328,7.49615802087559,0.996826259059062
0.003281,7.48102340515025,0.996833747649776
0.003282,7.46591567049096,0.996841221119313
0.003283,7.45083477272629,0.996848679494535
0.003284,7.43578066775428,0.996856122802255
0.003285,7.42075331174199,0.996863551069245
0.003286,7.40575266052542,0.996870964322231
0.003287,7.39077867050829,0.996878362587897
0.003288,7.37583129766535,0.996885745892881
0.003289,7.36091049853593,0.996893114263779
0.00329,7.34601622942989,0.996900467727143
0.003291,7.33114844652918,0.996907806309481
0.003292,7.31630710657658,0.996915130037257
0.003293,7.30149216589158,0.996922438936893
0.003294,7.28670358135175,0.996929733034767
0.003295,7.271941309511,0.996937012357213
0.003296,7.25720530718634,0.996944276930521
0.003297,7.24249553116541,0.99695152678094
0.003298,7.22781193830382,0.996958761934675
0.003299,7.2131544857179,0.996965982417887
0.0033,7.19852313030151,0.996973188256695
0.003301,7.18391782920887,0.996980379477175
0.003302,7.16933853946977,0.996987556105359
0.003303,7.15478521865955,0.996994718167238
0.003304,7.14025782375112,0.997001865688759
0.003305,7.12575631235682,0.997008998695827
0.003306,7.11128064158567,0.997016117214304
0.003307,7.09683076918322,0.99702322127001
0.003308,7.08240665277085,0.997030310888721
0.003309,7.06800824994202,0.997037386096172
0.00331,7.05363551816941,0.997044446918056
0.003311,7.0392884154622,0.997051493380023
0.003312,7.02496689952012,0.99705852550768
0.003313,7.01067092857574,0.997065543326594
0.003314,6.99640046018167,0.997072546862289
0.003315,6.98215545242378,0.997079536140245
0.003316,6.96793586354561,0.997086511185903
0.003317,6.95374165176288,0.997093472024661
0.003318,6.9395727750806,0.997100418681874
0.003319,6.92542919203039,0.997107351182858
0.00332,6.91131086084073,0.997114269552884
0.003321,6.8972177399897,0.997121173817185
0.003322,6.88314978792898,0.997128064000948
0.003323,6.86910696317565,0.997134940129324
0.003324,6.8550892245845,0.997141802227418
0.003325,6.84109653062073,0.997148650320296
0.003326,6.82712883999743,0.997155484432981
0.003327,6.81318611167216,0.997162304590457
0.003328,6.79926830448708,0.997169110817665
0.003329,6.78537537743824,0.997175903139506
0.00333,6.77150728940769,0.997182681580839
0.003331,6.75766399960993,0.997189446166484
0.003332,6.74384546714513,0.997196196921217
0.003333,6.73005165108944,0.997202933869776
0.003334,6.71628251093763,0.997209657036857
0.003335,6.70253800589403,0.997216366447116
0.003336,6.68881809531606,0.997223062125166
0.003337,6.67512273862533,0.997229744095583
