(energy, width) (svgx, svgy)
(0,0) (34.7308, 147.37939999999998)
(50,0) (69.85455000000002,147.37939999999998)
(100,0) (104.89580000000002,147.37939999999998)
(150,0) (139.93830000000003,147.37939999999998)
(200,0) (175.0608,147.37939999999998)
(0,0) (34.730800000000016,147.37939999999998)
(0,0.05) (34.730800000000016,99.08439999999997)
(0,0.1) (34.730800000000016,50.87189999999997)
(0,0.15) (34.730800000000016,2.5768999999999664)
