'Erecoil_keV_low'    'GGA1_NR_low    Erecoil_keV_high    GGA1_NR_high
161.837              0.336859        137.81              0.451613
162.869              0.337336        139.49              0.452389
163.9                0.337809        141.171             0.453159
164.931              0.33828         142.851             0.453923
165.963              0.338747        144.531             0.45468
166.994              0.339212        146.212             0.455432
168.025              0.339675        147.892             0.456178
169.057              0.340135        149.573             0.456918
170.088              0.340593        151.254             0.457652
171.119              0.341049        152.934             0.45838
172.15               0.341503        154.615             0.459101
173.182              0.341954        156.296             0.459817
174.213              0.342404        157.976             0.460527
175.244              0.342853        159.657             0.461231
176.275              0.343299        161.338             0.461929
177.306              0.343744        163.018             0.46262
178.338              0.344188        164.699             0.463306
179.369              0.344631        166.38              0.463986
180.4                0.345072        168.06              0.46466
181.431              0.345512        169.741             0.465328
182.461              0.345952        171.421             0.46599
183.492              0.34639         173.102             0.466646
184.523              0.346828        174.782             0.467295
185.554              0.347265        176.462             0.467939
186.584              0.347702        178.142             0.468577
187.615              0.348138        179.822             0.469209
188.645              0.348574        181.502             0.469835
189.676              0.34901         183.182             0.470455
190.706              0.349446        184.862             0.471069
191.736              0.349882        186.542             0.471677
192.766              0.350319        188.221             0.472279
193.796              0.350755        189.9               0.472875
194.826              0.351192        191.58              0.473464
195.856              0.35163         193.259             0.474048
196.886              0.352068        194.938             0.474626
197.915              0.352507        196.616             0.475198
198.947              0.352575        198.287             0.476402
199.97               0.353615        199.97              0.476402
