EV	DT	TS	P	Type	E1	D3	PX3	PY3	PZ3	X3	Y3	Z3	time3	PX1	PY1	PZ1	X1	Y1	Z1	time1	nCap	
3167	1	300019	0	22	1.977418743	0	-0.6626977959	-1.411734583	1.215739274	28.7280046	-40.92312001	26.43777538	2.680163803	-0.6626977959	-1.411734583	1.215739274	29.97301914	-38.27088532	24.15375831	2.667771933	0	
3167	1	400001	300000	11	1.237411257	0.2530003618	-0.31313115	0.9976286583	0.5903076159	30.01396198	-38.3003406	24.43861033	2.668710392	-0.2378130263	0.2369069164	1.638028786	29.97301914	-38.27088532	24.15375831	2.667771933	0	
3167	1	400002	300000	11	0.7939520563	0.7939520563	-0	0	0	29.96565951	-38.14645003	24.52966903	2.669381864	-0.31313115	0.9976286583	0.5903076159	30.01396198	-38.3003406	24.43861033	2.668710392	0	
3167	1	500001	400000	22	0.190458839	0.011103	-0	0	0	18.79303369	-18.61821887	27.8629547	2.745141077	-0.09326989022	0.163600487	0.02846361864	30.01396198	-38.3003406	24.43861033	2.668710392	0	
3167	1	600001	500000	11	0.179355839	0.179355839	-0	0	0	18.79251752	-18.60284368	27.87414415	2.745235449	-0.01259539991	0.3751797163	0.273040894	18.79303369	-18.61821887	27.8629547	2.745141077	0	
3659	1	100067	0	2112	6.289092198e-07	0	-0.02587801576	-0.003771631847	0.02216527855	15.8304511	17.88883587	39.59359315	28670.22197	-0.01333620285	-0.01646598134	-0.02707064439	22.61682841	26.26785975	53.368999	27075.40039	0	
3659	1	100068	0	2112	6.253936817e-07	0	-0.02587801576	-0.003771631847	0.02216527855	-0.2523682065	15.54482023	53.368999	30617.99121	-0.02587801576	-0.003771631847	0.02216527855	15.8304511	17.88883587	39.59359315	28670.22197	0	
3659	1	3400001	100000	72032	4.062894732e-08	4.062894732e-08	-0	-0	-0	15.83045108	17.88883577	39.59359312	28670.22227	-0.01036561318	-0.07104603828	-0.01695764715	15.8304511	17.88883587	39.59359315	28670.22197	0	
3659	1	3400002	100000	72032	0	0	-0	-0	-0	15.83045108	17.88883577	39.59359312	28670.22227	-0	-0	-0	15.83045108	17.88883577	39.59359312	28670.22227	0	
4634	1	100019	0	2112	1.097619629	0	-10.87935062	-8.804080318	43.2192484	-31.51428707	-38.81816212	53.10162718	62.33717477	-10.87935062	-8.804080318	43.2192484	-23.19291719	-32.08411968	20.044199	59.93714921	0	
5216	1	200018	0	22	3.194838854	0	-0	-0	0	-46.99927582	3.866615532	45.80473227	2.794356626	-0.9222254973	-1.557131286	2.632838315	-37.9759262	19.10208673	20.044199	2.690086737	0	
5216	1	500001	200000	11	1.02434085	0.8518945956	-0.2474220228	-0.3725053654	-0.07745645288	-47.07489015	3.77401841	46.04409409	2.795303069	-0.4091679138	-0.5010660135	1.295246216	-46.99927582	3.866615532	45.80473227	2.794356626	0	
5216	1	500002	200000	11	0.1724462544	0.1724462544	-0	-0	-0	-47.08462274	3.759365545	46.04104726	2.795392745	-0.2474220228	-0.3725053654	-0.07745645288	-47.07489015	3.77401841	46.04409409	2.795303069	0	
5216	1	600001	200000	-11	1.148500184	0.593722658	0.6656094603	-0.4029833296	0.1907941657	-47.09882568	3.656559208	46.06082233	2.795569207	-0.4544554628	-0.9589289715	1.169077763	-46.99927582	3.866615532	45.80473227	2.794356626	0	
5216	1	600002	200000	-11	0.4392399112	0.4392399112	0	-0	0	-47.02607191	3.612511526	46.08167689	2.795915664	0.6656094603	-0.4029833296	0.1907941657	-47.09882568	3.656559208	46.06082233	2.795569207	0	
5216	1	600003	200000	-11	0	0	0	-0	0	-47.02607191	3.612511526	46.08167689	2.795915664	0	-0	0	-47.02607191	3.612511526	46.08167689	2.795915664	0	
5216	1	900001	600000	22	0.51099891	0	0.165624662	0.345435356	-0.2269811905	-37.60603684	14.46618055	45.41466717	2.843905336	0.3345831049	0.3855032656	-0.02369101406	-47.02607191	3.612511526	46.08167689	2.795915664	0	
